[21:26:36] bucket „produse" creat, public la citire
[21:26:36] în bucket: 0 fișiere
[21:26:36] de urcat: 1749 din 1749 (656 MB)
[21:26:50] 100/1749  ok=100 eșec=0  7.1/s
[21:27:05] 200/1749  ok=200 eșec=0  6.8/s
[21:27:26] 300/1749  ok=300 eșec=0  6.0/s
[21:27:45] 400/1749  ok=400 eșec=0  5.8/s
[21:28:04] 500/1749  ok=500 eșec=0  5.7/s
[21:28:26] 600/1749  ok=600 eșec=0  5.5/s
[21:28:42] 700/1749  ok=700 eșec=0  5.5/s
[21:29:00] 800/1749  ok=800 eșec=0  5.5/s
[21:29:19] 900/1749  ok=900 eșec=0  5.5/s
[21:29:33] 1000/1749  ok=1000 eșec=0  5.6/s
[21:29:49] 1100/1749  ok=1100 eșec=0  5.7/s
[21:30:07] 1200/1749  ok=1200 eșec=0  5.7/s
[21:30:28] 1300/1749  ok=1300 eșec=0  5.6/s
[21:30:49] 1400/1749  ok=1400 eșec=0  5.5/s
[21:31:13] 1500/1749  ok=1500 eșec=0  5.4/s
[21:31:29] 1600/1749  ok=1600 eșec=0  5.5/s
[21:31:49] 1700/1749  ok=1700 eșec=0  5.4/s
[21:31:58] gata: 1749 urcate, 0 eșecuri, în 322s
