prioritate,slug_ro,name,produse,cota,cumulat,are_logo
1,tracmax,TRACMAX,713,4.75,4.75,nu
2,hankook,Hankook,635,4.23,8.98,nu
3,nexen,Nexen,624,4.16,13.14,nu
4,linglong,LingLong,486,3.24,16.38,nu
5,michelin,Michelin,483,3.22,19.60,nu
6,grenlander,Grenlander,456,3.04,22.64,nu
7,continental,Continental,410,2.73,25.37,nu
8,goodyear,Goodyear,399,2.66,28.03,nu
9,lassa,Lassa,365,2.43,30.46,nu
10,maxxis,Maxxis,358,2.39,32.85,nu
11,kumho,Kumho,357,2.38,35.23,nu
12,petlas,Petlas,348,2.32,37.55,nu
13,arivo,Arivo,331,2.21,39.75,nu
14,joyroad,Joyroad,328,2.19,41.94,nu
15,roadx,Roadx,302,2.01,43.95,nu
16,sailun,Sailun,284,1.89,45.84,nu
17,haida,Haida,278,1.85,47.70,nu
18,platin,Platin,273,1.82,49.52,nu
19,fronway,Fronway,271,1.81,51.32,nu
20,torque,Torque,243,1.62,52.94,nu
21,bridgestone,Bridgestone,237,1.58,54.52,nu
22,crosswind,Crosswind,220,1.47,55.99,nu
23,pirelli,Pirelli,207,1.38,57.37,nu
24,aplus,Aplus,204,1.36,58.73,nu
25,yokohama,Yokohama,201,1.34,60.07,nu
26,landspider,Landspider,200,1.33,61.40,nu
27,triangle,TRIANGLE,200,1.33,62.73,nu
28,kapsen,Kapsen,197,1.31,64.05,nu
29,vredestein,Vredestein,191,1.27,65.32,nu
30,hilo,Hilo,177,1.18,66.50,nu
31,matador,Matador,173,1.15,67.65,nu
32,rosava,Rosava,167,1.11,68.76,nu
33,barum,Barum,166,1.11,69.87,nu
34,firemax,Firemax,159,1.06,70.93,nu
35,starmaxx,Starmaxx,154,1.03,71.96,nu
36,habilead,Habilead,152,1.01,72.97,nu
37,riken,Riken,149,0.99,73.96,nu
38,centara,Centara,146,0.97,74.94,nu
39,fortune,Fortune,132,0.88,75.81,nu
40,tourador,Tourador,128,0.85,76.67,nu
41,kleber,Kleber,127,0.85,77.51,nu
42,kpatos,Kpatos,126,0.84,78.35,nu
43,accelera,ACCELERA,118,0.79,79.14,nu
44,ovation,Ovation,114,0.76,79.90,nu
45,uniroyal,Uniroyal,114,0.76,80.66,nu
46,leao,Leao,113,0.75,81.41,nu
47,dunlop,Dunlop,112,0.75,82.16,nu
48,otani,Otani,108,0.72,82.88,nu
49,laufenn,Laufenn,107,0.71,83.59,nu
50,lanvigator,Lanvigator,102,0.68,84.27,nu
51,davanti,Davanti,100,0.67,84.94,nu
52,gt-radial,GT Radial,99,0.66,85.60,nu
53,sunny,Sunny,98,0.65,86.25,nu
54,point-s,Point S,94,0.63,86.88,nu
55,viking,Viking,93,0.62,87.50,nu
56,ilink,ILINK,91,0.61,88.10,nu
57,zmax,Zmax,86,0.57,88.68,nu
58,tigar,Tigar,84,0.56,89.24,nu
59,rovelo,Rovelo,73,0.49,89.72,nu
60,duraturn,Duraturn,73,0.49,90.21,nu
61,ceat,Ceat,70,0.47,90.68,nu
62,nordexx,Nordexx,69,0.46,91.14,nu
63,cooper,Cooper,66,0.44,91.58,nu
64,nankang,Nankang,66,0.44,92.02,nu
65,debica,Debica,61,0.41,92.42,nu
66,nereus,Nereus,60,0.40,92.82,nu
67,rydanz,Rydanz,60,0.40,93.22,nu
68,prinx,Prinx,59,0.39,93.62,nu
69,fulda,Fulda,55,0.37,93.98,nu
70,roadstone,Roadstone,51,0.34,94.32,nu
71,tristar,TRISTAR,42,0.28,94.60,nu
72,superia,Superia,40,0.27,94.87,nu
73,nokian,Nokian,39,0.26,95.13,nu
74,comfoser,Comfoser,38,0.25,95.38,nu
75,marshal,Marshal,36,0.24,95.62,nu
76,rockblade,Rockblade,35,0.23,95.85,nu
77,mileking,Mileking,34,0.23,96.08,nu
78,charmhoo,Charmhoo,32,0.21,96.29,nu
79,annaite,Annaite,32,0.21,96.51,nu
80,falken,Falken,30,0.20,96.71,nu
81,sava,Sava,27,0.18,96.89,nu
82,onyx,ONYX,27,0.18,97.07,nu
83,avon,Avon,25,0.17,97.23,nu
84,bfgoodrich,BFGoodrich,23,0.15,97.39,nu
85,westlake,Westlake,22,0.15,97.53,nu
86,royal-black,Royal Black,22,0.15,97.68,nu
87,kelly,Kelly,21,0.14,97.82,nu
88,neolin,Neolin,20,0.13,97.95,nu
89,rotex,Rotex,19,0.13,98.08,nu
90,kormoran,KORMORAN,18,0.12,98.20,nu
91,minerva,Minerva,18,0.12,98.32,nu
92,gislaved,Gislaved,17,0.11,98.43,nu
93,gripmax,Gripmax,17,0.11,98.55,nu
94,firestone,Firestone,16,0.11,98.65,nu
95,greentrac,Greentrac,15,0.10,98.75,nu
96,kustone,Kustone,14,0.09,98.85,nu
97,kinforest,Kinforest,13,0.09,98.93,nu
98,semperit,Semperit,13,0.09,99.02,nu
99,diplomat,Diplomat,12,0.08,99.10,nu
100,three-a,Three-A,11,0.07,99.17,nu
101,unigrip,Unigrip,10,0.07,99.24,nu
102,waterfall,Waterfall,9,0.06,99.30,nu
103,imperial,Imperial,9,0.06,99.36,nu
104,compasal,Compasal,8,0.05,99.41,nu
105,motrio,Motrio,8,0.05,99.47,nu
106,toyo,Toyo,7,0.05,99.51,nu
107,zeta,ZETA,7,0.05,99.56,nu
108,anchee,Anchee,6,0.04,99.60,nu
109,austone,Austone,6,0.04,99.64,nu
110,giti,GiTi,5,0.03,99.67,nu
111,fortuna,Fortuna,5,0.03,99.71,nu
112,goodride,Goodride,5,0.03,99.74,nu
113,roadboss,Roadboss,4,0.03,99.77,nu
114,orium,ORIUM,4,0.03,99.79,nu
115,voyager,Voyager,4,0.03,99.82,nu
116,aptany,Aptany,3,0.02,99.84,nu
117,atturo,Atturo,3,0.02,99.86,nu
118,rapid,Rapid,2,0.01,99.87,nu
119,dovroad,Dovroad,2,0.01,99.89,nu
120,doublestar,Doublestar,2,0.01,99.90,nu
121,bearway,Bearway,2,0.01,99.91,nu
122,toledo,Toledo,2,0.01,99.93,nu
123,atlas,Atlas,2,0.01,99.94,nu
124,belshina,BELSHINA,1,0.01,99.95,nu
125,strial,Strial,1,0.01,99.95,nu
126,delinte,Delinte,1,0.01,99.96,nu
127,achilles,Achilles,1,0.01,99.97,nu
